state,city,min_lat,max_lat,min_long,max_long
"00730,",PONCE,18.009556,18.009556,-66.62725,-66.62725
AK,FAIRBANKS,58.38889,64.84593000000001,-161.767,-134.56555
AK,BETHEL,58.38889,64.84593000000001,-161.767,-134.56555
AK,PALMER,58.38889,64.84593000000001,-161.767,-134.56555
AK,JUNEAU,58.38889,64.84593000000001,-161.767,-134.56555
AK,ANCHORAGE,58.38889,64.84593000000001,-161.767,-134.56555
AK,NORTH POLE,58.38889,64.84593000000001,-161.767,-134.56555
AK,EAGLE RIVER,58.38889,64.84593000000001,-161.767,-134.56555
AL,CHICKASAW,30.7697,34.6917,-88.27792,-84.99965999999998
AL,WARRIOR,30.7697,34.6917,-88.27792,-84.99965999999998
AL,DECATUR,30.7697,34.6917,-88.27792,-84.99965999999998
AL,GADSDEN,30.7697,34.6917,-88.27792,-84.99965999999998
AL,HOOVER,30.7697,34.6917,-88.27792,-84.99965999999998
AL,HUNTSVILLE,30.7697,34.6917,-88.27792,-84.99965999999998
AL,LEEDS,30.7697,34.6917,-88.27792,-84.99965999999998
AL,MCCALLA,30.7697,34.6917,-88.27792,-84.99965999999998
AL,BIRMINGHAM,30.7697,34.6917,-88.27792,-84.99965999999998
AL,PHENIX CITY,30.7697,34.6917,-88.27792,-84.99965999999998
AL,CUBA,30.7697,34.6917,-88.27792,-84.99965999999998
AR,LITTLE ROCK,33.215,36.1797,-94.1167,-90.1911
AR,EL DORADO,33.215,36.1797,-94.1167,-90.1911
AR,MARION,33.215,36.1797,-94.1167,-90.1911
AR,NORTH LITTLE ROCK,33.215,36.1797,-94.1167,-90.1911
AR,SPRINGDALE,33.215,36.1797,-94.1167,-90.1911
AZ,CASA GRANDE,31.337204,33.5603,-114.61444,-109.53968
AZ,TUCSON,31.337204,33.5603,-114.61444,-109.53968
AZ,TEMPE,31.337204,33.5603,-114.61444,-109.53968
AZ,DOUGLAS,31.337204,33.5603,-114.61444,-109.53968
AZ,PHOENIX,31.337204,33.5603,-114.61444,-109.53968
AZ,GREEN VALLEY,31.337204,33.5603,-114.61444,-109.53968
AZ,MESA,31.337204,33.5603,-114.61444,-109.53968
AZ,NOGALES,31.337204,33.5603,-114.61444,-109.53968
AZ,YUMA,31.337204,33.5603,-114.61444,-109.53968
CA,CAMERON PARK,32.543476,41.796307,-124.20139,-115.4833
CA,SHINGLE SPRINGS,32.543476,41.796307,-124.20139,-115.4833
CA,ONTARIO,32.543476,41.796307,-124.20139,-115.4833
CA,ALPINE,32.543476,41.796307,-124.20139,-115.4833
CA,ANDERSON,32.543476,41.796307,-124.20139,-115.4833
CA,SACRAMENTO,32.543476,41.796307,-124.20139,-115.4833
CA,ATASCADERO,32.543476,41.796307,-124.20139,-115.4833
CA,AUBURN,32.543476,41.796307,-124.20139,-115.4833
CA,BAKERSFIELD,32.543476,41.796307,-124.20139,-115.4833
CA,BANNING,32.543476,41.796307,-124.20139,-115.4833
CA,BEN LOMOND,32.543476,41.796307,-124.20139,-115.4833
CA,BIG SUR,32.543476,41.796307,-124.20139,-115.4833
CA,BOULDER CREEK,32.543476,41.796307,-124.20139,-115.4833
CA,CALEXICO,32.543476,41.796307,-124.20139,-115.4833
CA,CARMEL-BY-THE-SEA,32.543476,41.796307,-124.20139,-115.4833
CA,CARMEL VALLEY,32.543476,41.796307,-124.20139,-115.4833
CA,WESTWOOD,32.543476,41.796307,-124.20139,-115.4833
CA,CHICO,32.543476,41.796307,-124.20139,-115.4833
CA,COLFAX,32.543476,41.796307,-124.20139,-115.4833
CA,COLUSA,32.543476,41.796307,-124.20139,-115.4833
CA,CONCORD,32.543476,41.796307,-124.20139,-115.4833
CA,CRESTLINE,32.543476,41.796307,-124.20139,-115.4833
CA,MONTEREY,32.543476,41.796307,-124.20139,-115.4833
CA,LOWER LAKE,32.543476,41.796307,-124.20139,-115.4833
CA,COULTERVILLE,32.543476,41.796307,-124.20139,-115.4833
CA,MIDDLETOWN,32.543476,41.796307,-124.20139,-115.4833
CA,EL CAJON,32.543476,41.796307,-124.20139,-115.4833
CA,EL CENTRO,32.543476,41.796307,-124.20139,-115.4833
